booking_id,booking_date,check_in_date,check_out_date,channel_id,rate_code_id,gross_room_revenue,commission_amount,net_room_revenue,status
BK_00001,2024-12-31,2025-01-01,2025-01-04,CH_01,RT_02,0.0,0.0,0.0,Cancelled
BK_00002,2024-12-31,2025-01-01,2025-01-03,CH_01,RT_02,425.1,12.75,412.35,Checked-Out
BK_00003,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_01,482.52,86.85,395.67,Checked-Out
BK_00004,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_03,373.2,67.18,306.02,Checked-Out
BK_00005,2024-12-31,2025-01-01,2025-01-03,CH_06,RT_04,178.24,0.0,178.24,Checked-Out
BK_00006,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,334.64,66.93,267.71,Confirmed
BK_00007,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_03,0.0,0.0,0.0,Cancelled
BK_00008,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_01,367.32,66.12,301.2,Checked-Out
BK_00009,2024-12-31,2025-01-01,2025-01-04,CH_06,RT_04,280.98,0.0,280.98,Confirmed
BK_00010,2024-12-31,2025-01-01,2025-01-04,CH_03,RT_01,404.28,80.86,323.42,Checked-Out
BK_00011,2024-12-31,2025-01-01,2025-01-05,CH_02,RT_03,629.68,113.34,516.34,Checked-Out
BK_00012,2024-12-31,2025-01-01,2025-01-03,CH_06,RT_04,0.0,0.0,0.0,Cancelled
BK_00013,2024-12-31,2025-01-01,2025-01-07,CH_07,RT_01,1218.36,146.2,1072.16,Checked-Out
BK_00014,2024-12-31,2025-01-01,2025-01-05,CH_03,RT_01,578.88,115.78,463.1,Checked-Out
BK_00015,2024-12-31,2025-01-01,2025-01-04,CH_02,RT_01,445.71,80.23,365.48,Checked-Out
BK_00016,2024-12-31,2025-01-01,2025-01-06,CH_01,RT_01,738.7,22.16,716.54,Checked-Out
BK_00017,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_02,161.58,32.32,129.26,Checked-Out
BK_00018,2024-12-31,2025-01-01,2025-01-03,CH_06,RT_04,216.76,0.0,216.76,Checked-Out
BK_00019,2024-12-31,2025-01-01,2025-01-03,CH_07,RT_01,390.7,46.88,343.82,Confirmed
BK_00020,2024-12-31,2025-01-01,2025-01-03,CH_05,RT_01,422.38,0.0,422.38,Confirmed
BK_00021,2024-12-31,2025-01-01,2025-01-02,CH_03,RT_01,153.61,30.72,122.89,Checked-Out
BK_00022,2024-12-31,2025-01-01,2025-01-04,CH_06,RT_04,0.0,0.0,0.0,Cancelled
BK_00023,2024-12-31,2025-01-01,2025-01-06,CH_04,RT_03,536.5,91.21,445.29,Confirmed
BK_00024,2024-12-31,2025-01-01,2025-01-02,CH_02,RT_01,152.68,27.48,125.2,Confirmed
BK_00025,2024-12-31,2025-01-01,2025-01-02,CH_07,RT_01,145.23,17.43,127.8,Checked-Out
BK_00026,2024-12-31,2025-01-01,2025-01-05,CH_01,RT_06,588.32,0.0,588.32,Checked-Out
BK_00027,2024-12-31,2025-01-01,2025-01-05,CH_07,RT_04,420.72,0.0,420.72,Checked-Out
BK_00028,2024-12-31,2025-01-01,2025-01-02,CH_04,RT_02,141.8,24.11,117.69,Checked-Out
BK_00029,2024-12-31,2025-01-01,2025-01-02,CH_04,RT_03,0.0,0.0,0.0,Cancelled
BK_00030,2024-12-31,2025-01-01,2025-01-04,CH_07,RT_01,479.01,57.48,421.53,Checked-Out
BK_00031,2024-12-31,2025-01-01,2025-01-04,CH_06,RT_04,261.87,0.0,261.87,Checked-Out
BK_00032,2024-12-31,2025-01-01,2025-01-06,CH_04,RT_01,1091.9,185.62,906.28,Confirmed
BK_00033,2024-12-31,2025-01-01,2025-01-03,CH_04,RT_01,369.5,62.82,306.68,Checked-Out
BK_00034,2024-12-31,2025-01-01,2025-01-05,CH_01,RT_06,742.96,0.0,742.96,Confirmed
BK_00035,2024-12-31,2025-01-01,2025-01-03,CH_05,RT_01,455.16,0.0,455.16,Checked-Out
BK_00036,2024-12-31,2025-01-01,2025-01-03,CH_06,RT_04,195.54,0.0,195.54,Checked-Out
BK_00037,2024-12-31,2025-01-01,2025-01-05,CH_01,RT_06,595.68,0.0,595.68,Checked-Out
BK_00038,2024-12-31,2025-01-01,2025-01-03,CH_03,RT_01,337.5,67.5,270.0,Checked-Out
BK_00039,2024-12-31,2025-01-01,2025-01-03,CH_07,RT_01,351.16,42.14,309.02,Checked-Out
BK_00040,2024-12-31,2025-01-01,2025-01-02,CH_05,RT_01,180.37,0.0,180.37,Confirmed
