spend_id,spend_date,channel_id,platform,cost_amount,clicks
MK_00001,2025-01-02,CH_01,Google Ads,470.17,474
MK_00002,2025-01-02,CH_01,Google Ads,808.25,899
MK_00003,2025-01-03,CH_03,Meta Search,955.41,581
MK_00004,2025-01-03,CH_03,Meta Search,266.41,256
MK_00005,2025-01-03,CH_01,Instagram Ads,864.85,759
MK_00006,2025-01-04,CH_03,Meta Search,502.95,262
MK_00007,2025-01-04,CH_01,Google Ads,911.34,187
MK_00008,2025-01-06,CH_01,Facebook Ads,386.69,890
MK_00009,2025-01-06,CH_02,Instagram Ads,350.7,636
MK_00010,2025-01-07,CH_01,Meta Search,248.65,744
MK_00011,2025-01-08,CH_02,Google Ads,739.48,894
MK_00012,2025-01-08,CH_02,Meta Search,621.78,350
MK_00013,2025-01-09,CH_02,Facebook Ads,384.7,534
MK_00014,2025-01-10,CH_03,Meta Search,404.25,898
MK_00015,2025-01-11,CH_02,Meta Search,229.33,662
MK_00016,2025-01-11,CH_02,Facebook Ads,905.6,156
MK_00017,2025-01-12,CH_01,Instagram Ads,900.66,528
MK_00018,2025-01-15,CH_01,Facebook Ads,413.72,164
MK_00019,2025-01-15,CH_02,Google Ads,810.45,686
MK_00020,2025-01-16,CH_01,Facebook Ads,852.4,179
MK_00021,2025-01-17,CH_01,Google Ads,828.69,494
MK_00022,2025-01-17,CH_02,Google Ads,823.69,852
MK_00023,2025-01-18,CH_02,Google Ads,207.54,831
MK_00024,2025-01-18,CH_03,Instagram Ads,389.67,850
MK_00025,2025-01-18,CH_01,Facebook Ads,284.28,290
MK_00026,2025-01-19,CH_03,Facebook Ads,707.02,363
MK_00027,2025-01-20,CH_02,Instagram Ads,284.13,483
MK_00028,2025-01-20,CH_01,Instagram Ads,276.4,898
MK_00029,2025-01-21,CH_01,Meta Search,450.62,839
MK_00030,2025-01-21,CH_01,Meta Search,528.72,477
MK_00031,2025-01-22,CH_02,Facebook Ads,298.57,201
MK_00032,2025-01-22,CH_01,Google Ads,698.12,344
MK_00033,2025-01-23,CH_01,Google Ads,686.27,370
MK_00034,2025-01-24,CH_01,Instagram Ads,304.58,137
MK_00035,2025-01-25,CH_01,Google Ads,709.57,497
MK_00036,2025-01-26,CH_01,Instagram Ads,223.96,375
MK_00037,2025-01-26,CH_03,Facebook Ads,954.49,601
MK_00038,2025-01-26,CH_01,Instagram Ads,570.56,974
MK_00039,2025-01-27,CH_01,Meta Search,737.52,249
MK_00040,2025-01-28,CH_01,Instagram Ads,695.24,665
MK_00041,2025-01-28,CH_01,Instagram Ads,779.04,192
MK_00042,2025-01-29,CH_01,Meta Search,941.07,577
MK_00043,2025-01-29,CH_02,Meta Search,211.16,269
MK_00044,2025-01-30,CH_01,Meta Search,593.22,393
MK_00045,2025-01-31,CH_02,Instagram Ads,902.53,953
MK_00046,2025-02-01,CH_01,Meta Search,930.98,133
MK_00047,2025-02-01,CH_01,Meta Search,235.33,413
MK_00048,2025-02-02,CH_01,Google Ads,709.5,672
MK_00049,2025-02-03,CH_02,Instagram Ads,824.09,535
MK_00050,2025-02-04,CH_01,Meta Search,634.39,854
MK_00051,2025-02-04,CH_02,Instagram Ads,453.28,188
MK_00052,2025-02-04,CH_01,Google Ads,796.14,340
MK_00053,2025-02-05,CH_02,Google Ads,778.54,995
MK_00054,2025-02-06,CH_01,Google Ads,713.09,886
MK_00055,2025-02-07,CH_01,Google Ads,689.63,642
MK_00056,2025-02-07,CH_02,Facebook Ads,694.57,487
MK_00057,2025-02-08,CH_01,Meta Search,382.3,869
MK_00058,2025-02-09,CH_03,Google Ads,946.06,699
MK_00059,2025-02-10,CH_03,Facebook Ads,362.7,369
MK_00060,2025-02-10,CH_01,Google Ads,279.53,778
MK_00061,2025-02-10,CH_02,Facebook Ads,927.17,347
MK_00062,2025-02-11,CH_03,Instagram Ads,905.56,377
MK_00063,2025-02-11,CH_01,Google Ads,875.16,232
MK_00064,2025-02-11,CH_02,Google Ads,880.12,852
MK_00065,2025-02-12,CH_01,Meta Search,913.87,506
MK_00066,2025-02-13,CH_02,Instagram Ads,528.65,226
MK_00067,2025-02-13,CH_01,Facebook Ads,771.78,345
MK_00068,2025-02-13,CH_01,Facebook Ads,829.97,321
MK_00069,2025-02-14,CH_01,Meta Search,951.1,472
MK_00070,2025-02-15,CH_01,Meta Search,825.22,604
MK_00071,2025-02-16,CH_01,Facebook Ads,550.15,898
MK_00072,2025-02-16,CH_01,Google Ads,949.49,362
MK_00073,2025-02-17,CH_01,Google Ads,205.86,921
MK_00074,2025-02-17,CH_01,Google Ads,215.62,378
MK_00075,2025-02-19,CH_02,Facebook Ads,530.39,991
MK_00076,2025-02-19,CH_01,Meta Search,508.61,536
MK_00077,2025-02-19,CH_01,Facebook Ads,805.47,182
MK_00078,2025-02-21,CH_01,Facebook Ads,411.06,569
MK_00079,2025-02-22,CH_01,Google Ads,783.04,515
MK_00080,2025-02-24,CH_02,Instagram Ads,667.44,329
MK_00081,2025-02-25,CH_01,Facebook Ads,871.02,435
MK_00082,2025-02-26,CH_01,Instagram Ads,930.98,327
MK_00083,2025-02-27,CH_03,Facebook Ads,329.74,236
MK_00084,2025-02-27,CH_01,Instagram Ads,234.21,653
MK_00085,2025-02-27,CH_01,Meta Search,707.64,837
MK_00086,2025-02-28,CH_02,Instagram Ads,533.99,866
MK_00087,2025-02-28,CH_01,Google Ads,424.79,552
MK_00088,2025-03-01,CH_02,Instagram Ads,593.55,364
MK_00089,2025-03-01,CH_01,Instagram Ads,258.59,113
MK_00090,2025-03-03,CH_01,Google Ads,452.67,280
MK_00091,2025-03-03,CH_02,Instagram Ads,377.14,501
MK_00092,2025-03-03,CH_01,Instagram Ads,776.83,880
MK_00093,2025-03-04,CH_01,Instagram Ads,411.73,334
MK_00094,2025-03-04,CH_01,Meta Search,610.02,199
MK_00095,2025-03-04,CH_01,Instagram Ads,465.97,547
MK_00096,2025-03-05,CH_01,Google Ads,331.65,482
MK_00097,2025-03-06,CH_01,Facebook Ads,820.72,458
MK_00098,2025-03-07,CH_01,Facebook Ads,910.64,451
MK_00099,2025-03-07,CH_01,Facebook Ads,817.88,825
MK_00100,2025-03-08,CH_01,Meta Search,228.14,589
MK_00101,2025-03-08,CH_01,Google Ads,903.23,961
MK_00102,2025-03-08,CH_02,Facebook Ads,963.58,807
MK_00103,2025-03-09,CH_02,Meta Search,787.43,983
MK_00104,2025-03-10,CH_01,Instagram Ads,201.87,404
MK_00105,2025-03-10,CH_01,Meta Search,411.37,373
MK_00106,2025-03-10,CH_01,Facebook Ads,265.51,919
MK_00107,2025-03-11,CH_01,Facebook Ads,359.57,282
MK_00108,2025-03-12,CH_01,Instagram Ads,781.98,251
MK_00109,2025-03-12,CH_01,Meta Search,729.63,140
MK_00110,2025-03-12,CH_01,Google Ads,579.88,173
MK_00111,2025-03-13,CH_01,Facebook Ads,325.12,667
MK_00112,2025-03-13,CH_01,Google Ads,357.96,212
MK_00113,2025-03-14,CH_01,Google Ads,304.8,594
MK_00114,2025-03-15,CH_01,Instagram Ads,777.5,307
MK_00115,2025-03-15,CH_01,Meta Search,701.84,499
MK_00116,2025-03-16,CH_01,Facebook Ads,783.74,862
MK_00117,2025-03-17,CH_01,Facebook Ads,543.49,364
MK_00118,2025-03-18,CH_02,Google Ads,615.6,533
MK_00119,2025-03-18,CH_01,Google Ads,587.4,708
MK_00120,2025-03-19,CH_03,Google Ads,556.74,768
MK_00121,2025-03-19,CH_01,Google Ads,549.58,181
MK_00122,2025-03-20,CH_01,Google Ads,808.45,537
MK_00123,2025-03-20,CH_01,Meta Search,206.38,244
MK_00124,2025-03-21,CH_01,Meta Search,771.43,814
MK_00125,2025-03-22,CH_01,Meta Search,485.63,463
MK_00126,2025-03-23,CH_02,Facebook Ads,617.68,170
MK_00127,2025-03-23,CH_02,Facebook Ads,286.72,718
MK_00128,2025-03-24,CH_01,Meta Search,381.13,480
MK_00129,2025-03-24,CH_01,Google Ads,382.21,987
MK_00130,2025-03-25,CH_01,Meta Search,340.81,619
MK_00131,2025-03-25,CH_02,Google Ads,387.13,650
MK_00132,2025-03-25,CH_01,Google Ads,911.23,375
MK_00133,2025-03-26,CH_02,Meta Search,722.47,208
MK_00134,2025-03-26,CH_01,Meta Search,729.29,251
MK_00135,2025-03-27,CH_01,Instagram Ads,743.79,268
MK_00136,2025-03-27,CH_01,Facebook Ads,926.68,496
MK_00137,2025-03-28,CH_01,Facebook Ads,352.18,287
MK_00138,2025-03-28,CH_01,Meta Search,257.56,370
MK_00139,2025-03-29,CH_01,Facebook Ads,290.03,887
MK_00140,2025-03-29,CH_01,Instagram Ads,661.17,779
MK_00141,2025-03-29,CH_01,Facebook Ads,878.93,767
MK_00142,2025-03-30,CH_01,Meta Search,861.63,216
MK_00143,2025-03-31,CH_01,Facebook Ads,357.8,287
MK_00144,2025-03-31,CH_01,Instagram Ads,272.13,474
MK_00145,2025-04-01,CH_02,Facebook Ads,567.75,484
